Job Title,Company Name,Location,Contract Type,Niveau Etude,Secteur,Teletravail,Experience,Salaire,skills
Software Engineer C# .Net H/F,AXA en France,Nanterre - 92,CDI,Bac +5,,True,,,"['.net', 'c', 'esp', 'devops']"
Software Engineer Java - Springboot H/F,AXA en France,Nanterre - 92,CDI,Bac +5,,True,,,"['c', 'esp', 'java', 'devops']"
Software Engineer H/F,Talan,Nantes - 44,CDI,,,False,,,"['python', 'rest', '.net', 'c', 'php', 'esp', 'java', 'big data', 'ada', 'devops']"
Software Engineer Java - Angular H/F,Capgemini,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,,"['c', 'scala']"
Software Engineer Golang - Aws H/F,Seyos,Paris 17e - 75,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,True,Exp. 1 à 7 ans,50 000 - 60 000 EUR par an,"['microservices', 'rest', 'github', 'c', 'docker', 'github', 'cdk', 'react']"
Senior Integration Software Engineer H/F,Exotec,Lille - 59,CDI,,,False,,,"['c', 'esp', 'java', 'vue.js', 'postgresql', 'javascript']"
R&D Software Engineer C++ H/F,Exotec,Lille - 59,CDI,,,False,,,"['c', 'linux']"
R&D Software Engineer C++ H/F,Exotec,Lyon 1er - 69,CDI,,,False,,,"['c', 'esp', 'linux']"
Software Engineer Mobile en Alternance H/F,AXA en France,Wasquehal - 59,Alternance,Bac +5,,True,Exp. + 7 ans,819 - 2 100 EUR par mois,"['android', 'c', 'ios', 'devops', 'swift']"
Software Engineer .Net en Alternance H/F,AXA en France,Nanterre - 92,Alternance,Bac +5,,True,Exp. + 7 ans,819 - 2 100 EUR par mois,"['.net', 'c', 'esp']"
Junior Software Engineer H/F,CS Group,Pyrénées-Atlantiques - 64,CDI,Bac +5,Secteur informatique • ESN,False,Exp. + 7 ans,,"['typing', 'c', 'esp', 'integration']"
Senior Software Engineer Java - Springboot H/F,AXA en France,Wasquehal - 59,CDI,,,False,,,"['c', 'esp', 'java', 'devops']"
Software Engineer Java Métier Sinistre H/F,AXA en France,Wasquehal - 59,CDI,,,False,,,"['c', 'esp', 'java']"
Fullstack Software Engineer Angular - .Net H/F,Kinougarde,Lyon 3e - 69,CDI,Bac +5,Services aux Personnes • Particuliers,False,Exp. + 7 ans,,"['.net', 'c', 'angular', 'core']"
Java Software Engineer H/F,TRSB,Aix-en-Provence - 13,CDI,,,False,,,"['c', 'java']"
Software Engineer Python - Pyqt H/F,Sept Lieues,Montigny-le-Bretonneux - 78,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,60 000 - 90 000 EUR par an,"['python', 'c', 'qt', 'esp']"
Software Engineer .Net - Angular H/F,Pixie Services France,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,False,Exp. 1 à 7 ans,"55 000 - 60 000,02 EUR par an","['rest', '.net', 'c', 'angular', 'esp']"
Back End Software Engineer H/F,ALTEN,Valbonne - 06,CDI,Bac +5,Secteur informatique • ESN,True,,45 000 - 55 000 EUR par an,"['product management', 'python', 'jmeter', 'electronics', 'security', 'rest', 'electron', 'c', 'nix', 'java', 'json', 'docker', 'healthcare', 'hbase']"
Software Engineer Full Stack en Alternance H/F,AXA en France,Wasquehal - 59,Alternance,Bac +5,,True,Exp. + 7 ans,819 - 2 100 EUR par mois,"['.net', 'c', 'react', 'node.js', 'devops', 'core']"
Software Engineer .Net - Reactjs en Alternance H/F,AXA en France,Wasquehal - 59,Alternance,Bac +5,,True,Exp. + 7 ans,819 - 2 100 EUR par mois,"['kubernetes', '.net', 'c', 'docker', 'react', 'devops']"
Software Engineer Front-End en Alternance H/F,AXA en France,Nanterre - 92,Alternance,Bac +5,,True,Exp. + 7 ans,819 - 2 100 EUR par mois,"['c', 'esp']"
.Net Software Engineer H/F,TRSB,Lyon - 69,CDI,,,False,,,"['microservices', '.net', 'c', 'docker', 'postgresql', 'core']"
Software Engineer Node - React - Aws H/F,Seyos,Paris 8e - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,50 000 - 55 000 EUR par an,"['c', 'react']"
Senior Java Fullstack Software Engineer H/F,Weavy Consulting,Paris - 75,CDI,,Services aux Entreprises,True,,,['c']
Google Cloud Software Engineer H/F,Hardis Group,Nantes - 44,CDI,,,False,,50 000 - 70 000 EUR par an,"['c', 'esp', 'devops']"
Software Engineer Java - Angular - Tv Numérique H/F,Seyos,Cesson-Sévigné - 35,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,45 000 - 60 000 EUR par an,"['kubernetes', 'rest', 'c', 'mysql', 'angular', 'java', 'docker', 'vue.js', 'postgresql', 'core']"
Software Engineer Llm - Node.Js - Vue.Js H/F,Seyos,Paris 8e - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,45 000 - 55 000 EUR par an,"['python', 'ansible', 'c', 'esp', 'java', 'terraform', 'docker', 'vue.js', 'node.js', 'postgresql', 'javascript']"
Fullstack Software Engineer Java - Typescript Exp Mini H/F,Twenty One Talents,Paris - 75,CDI,Bac +5,,True,Exp. + 7 ans,50 000 - 85 000 EUR par an,"['c', 'esp']"
Junior - Software Engineer - Full Stack - Financial Services H/F,Deloitte,La Défense - 92,CDI,Bac +5,Services aux Entreprises,True,Exp. 1 à 7 ans,40 000 - 45 000 EUR par an,"['kubernetes', 'analytics', 'rest', 'github', 'c', 'css', 'angular', 'esp', 'docker', 'github', 'postgresql', 'devops']"
Senior Software Engineer Java Developer H/F,Abylsen,Valbonne - 06,CDI,Bac +5,Secteur informatique • ESN,False,Exp. 1 à 7 ans,45 000 - 55 000 EUR par an,"['c', 'java']"
Microsoft Cloud Software Engineer H/F,Hardis Group,Grenoble - 38,CDI,,,False,,,"['.net', 'c']"
Stagiaire - Software Engineer - Full Stack - Financial Services H/F,Deloitte,La Défense - 92,Stage,Bac +5,Services aux Entreprises,True,Exp. + 7 ans,,"['kubernetes', 'analytics', 'rest', 'github', 'c', 'css', 'angular', 'esp', 'docker', 'github', 'postgresql', 'devops']"
Full-Stack Software Engineer Python - Angular H/F,AGICAP,Lyon - 69,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,53 000 - 70 000 EUR par an,"['python', 'rest', 'c', 'angular', 'esp', 'ada']"
Front-End Software Engineer Ddd & Angular H/F,AGICAP,Lyon - 69,CDI,Bac +5,Secteur informatique • ESN,False,Exp. 1 à 7 ans,48 000 - 63 000 EUR par an,"['c', 'angular']"
Back-End Software Engineer Ddd & .Net H/F,AGICAP,Lyon - 69,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,53 000 - 70 000 EUR par an,['c']
Software Engineer Java H/F,TRSB,Aix-en-Provence - 13,CDI,,,False,,,"['ansible', 'rest', 'c', 'windows', 'java']"
Software Engineer .Net H/F,TRSB,Avignon - 84,CDI,,,False,,24 000 - 40 000 EUR par an,"['.net', 'c', 'angular']"
Software Engineer Formal Methods H/F,Inetum,Vélizy-Villacoublay - 78,CDI,Bac +5,Secteur informatique • ESN,False,Exp. + 7 ans,,"['c', 'ios', 'esp']"
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,Nantes - 44,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,38 000 - 55 000 EUR par an,['c']
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,La Roche-sur-Yon - 85,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,38 000 - 55 000 EUR par an,['c']
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,Cholet - 49,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,38 000 - 55 000 EUR par an,['c']
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,Pornic - 44,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,38 000 - 55 000 EUR par an,['c']
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,Angers - 49,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,38 000 - 55 000 EUR par an,['c']
Software Engineer Java Backend H/F,TRSB,Lyon - 69,CDI,,,False,,,"['kubernetes', 'microservices', 'rest', 'c', 'java', 'docker', 'big data', 'scala']"
Software Engineer Java Backend H/F,TRSB,Marseille - 13,CDI,,,False,,40 000 - 50 000 EUR par an,"['kubernetes', 'microservices', 'rest', 'c', 'java', 'docker', 'big data', 'scala']"
Développeur - Software Engineer H/F,MAIF,Niort - 79,CDI,Bac +5,,True,,35 000 - 60 000 EUR par an,"['c', 'esp', 'java', 'javascript', 'devops']"
Software Engineer Java - Angular H/F,VAHUMANA,Lyon - 69,CDI,,,False,,45 000 - 55 000 EUR par an,"['rest', 'c', 'angular', 'java', 'docker']"
Full-Stack Software Engineer Typescript Next.Js Shadcn 2 à d'Exp Mini H/F,Twenty One Talents,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,50 000 - 70 000 EUR par an,"['next.js', 'c', 'esp', 'postgresql']"
Full Stack Software Engineer Ruby-On-Rails Vuejs Postgresql d'Exp Mini H/F,Twenty One Talents,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,55 000 - 80 000 EUR par an,"['rails', 'c', 'esp', 'ruby']"
Embedded Software Test Engineer H/F,Aubay,Paris - 75,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,,"['c', 'ios', 'esp', 'core']"
Ingénieur Train Control - Software Development Engineer Sde H/F,Segula Technologies,Valenciennes - 59,CDI,,,False,,35 000 - 45 000 EUR par an,"['c', 'esp']"
Software Developer & Application Engineer H/F,Axa investment managers,Puteaux - 92,CDI,Bac +5,,False,,,"['unity', 'security', '.net', 'c', 'esp', 'integration', 'al design', 'devops']"
Software Power Control Engineer H/F,Es Tete Grand Sud Ouest,Toulouse - 31,CDI,,,False,,,"['rest', 'c']"
Qa - Software Test Engineer H/F,ALTEN,Valbonne - 06,CDI,Bac +5,Secteur informatique • ESN,True,,45 000 - 60 000 EUR par an,"['electronics', 'security', 'electron', 'c', 'esp', 'integration', 'testing', 'healthcare', 'scala']"
Software Developer & Application Engineer H/F,AXA en France,Puteaux - 92,CDI,Bac +5,,True,,,"['unity', 'security', '.net', 'c', 'esp', 'integration', 'al design', 'devops']"
Lead Software R&D Engineer - Robotics & Vision H/F,Exotec,Lille - 59,CDI,,,False,,,"['c', 'esp', 'robotics', 'linux']"
Ingénieur Développement Logiciel H/F,Safran,Nantes - 44,CDI,,,False,,,"['python', 'electronics', 'rest', 'github', 'electron', 'c', 'qt', 'windows', 'esp', 'github', 'ada', 'linux', 'devops']"
Ingénieur Développement Logiciel H/F,Alegria,Grenoble - 38,CDI,Bac +5,Services aux Entreprises,True,Exp. 1 à 7 ans,40 000 - 60 000 EUR par an,"['c', 'esp', 'fortran']"
Ingenieur Developpement Software H/F,Emovia,Colmar - 68,CDI,Bac +5,,False,Exp. 1 à 7 ans,37 000 - 45 000 EUR par an,"['c', 'fuse']"
Architecte Applicatif H/F,Open,Rennes - 35,CDI,,,False,,36 000 - 50 000 EUR par an,"['ansible', 'android', 'c', 'ios', 'angular', 'java', 'docker', 'react', 'devops']"
Ingénieur Développement Logiciel H/F,Hager Group,Saverne - 67,CDI,Bac +5,,True,,45 000 - 74 000 EUR par an,"['python', 'c', 'esp', 'linux', 'devops']"
Ingénieur Développement Logiciels H/F,Hager Group,Crolles - 38,CDI,Bac +5,,True,,,"['c', 'esp', 'devops']"
Ingénieur Développement Logiciel H/F,L'Industrie recrute,Chavanod - 74,CDI,Bac +5,,True,Exp. + 7 ans,,"['c', 'qt', 'esp', 'java', 'javascript']"
Ingénieur en Développement Logiciel H/F,CEA,Labège - 31,CDD,Bac +5,Services aux Entreprises,True,,32 000 - 45 000 EUR par an,['c']
Ingénieur Logiciel - Ingénieure Logiciel H/F,Guarani,Nice - 06,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,35 000 - 55 000 EUR par an,"['ansible', 'android', '.net', 'c', 'ios', 'php', 'flutter', 'react native', 'esp', 'java', 'c/c++', 'react', 'devops']"
Ingénieur Software H/F,AlisPharm,Montpellier - 34,CDI,,,False,,48 000 - 60 000 EUR par an,"['c', 'qt', 'windows', 'dos', 'ada']"
Ingénieur Software H/F,AlisPharm,Montpellier - 34,CDI,,,False,,48 000 - 60 000 EUR par an,"['c', 'qt', 'windows', 'dos', 'ada']"
Ingénieur Développement Logiciel H/F,PRODWAYS GROUP,Yvelines - 78,CDI,Bac +5,,True,Exp. + 7 ans,45 000 - 50 000 EUR par an,['c']
Ingénieur Logiciel H/F,TDM BDX,Mérignac - 33,CDI,Bac +5,,True,Exp. 1 à 7 ans,38 000 - 50 000 EUR par an,['c']
Ingénieur Développement Logiciel H/F,Up Skills Cadres et Experts,Vaulx-en-Velin - 69,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,30 000 - 60 000 EUR par an,"['c', 'php', 'windows', 'angular', 'java', 'c/c++', 'deep learning', 'linux', 'javascript']"
Ingénieur Développement Logiciel H/F,MVG Industries,Plouzané - 29,CDI,Bac +5,,True,Exp. 1 à 7 ans,,"['c', 'esp']"
Architecte Applicatif H/F,Astek,Brest - 29,CDI,Bac +5,Secteur informatique • ESN,True,,,"['c', 'ada']"
Ingénieur Développement Logiciel H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,,['c']
Ingénieur Développement Logiciel H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,,"['html5', '.net', 'c', 'windows', 'core']"
Ingénieur Développement Logiciel H/F,L'Industrie recrute,Dadonville - 45,CDI,Bac +5,,False,Exp. + 7 ans,,"['c', 'css', 'esp', 'java']"
Ingénieur Logiciel H/F,Naval Group,Bagneux - 92,CDI,Bac +5,,False,Exp. 1 à 7 ans,,"['c', 'esp']"
Software Integration Engineer Confirmé H/F,Atos,Grenoble - 38,CDI,Bac +5,Secteur informatique • ESN,True,,,"['python', 'ansible', 'shell', 'c', 'windows', 'esp', 'postgresql', 'linux']"
Ingénieur Développement Logiciel H/F,LR Technologies Groupe,Pacy-sur-Eure - 27,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,40 000 - 55 000 EUR par an,"['python', 'c', 'ada', 'core']"
Ingénieur Développement Software H/F,Randstad,Crespin - 59,Intérim,Bac +5,,True,Exp. 1 à 7 ans,40 000 EUR par an,"['rest', 'c', 'esp', 'ada']"
Ingénieur Développement Logiciel H/F,Expleo,Toulouse - 31,CDI,,,False,,32 000 - 45 000 EUR par an,"['python', 'rest', 'c', 'qt', 'raspberry pi', 'windows', 'esp', 'java', 'c/c++', 'ada', 'postgresql', 'linux', 'core']"
Ingénieur Développement Logiciel H/F,Crit,Antony - 92,Intérim,Bac +5,Services aux Entreprises,False,Exp. 1 à 7 ans,12 - 13 EUR par heure,['c']
System Software Development Engineer R&D - DevOps M - F H/F,Eviden,Échirolles - 38,CDI,,,False,,,"['kubernetes', 'python', 'ansible', 'c', 'esp', 'docker', 'testing', 'linux', 'devops']"
Ingénieur Logiciels H/F,Nextgen RH,Mérignac - 33,CDI,Bac +5,,False,,45 000 - 55 000 EUR par an,"['c', 'dos', 'esp']"
Ingénieur Développement Logiciel H/F,Hays,Villeneuve-lès-Bouloc - 31,CDI,"Bac +3, Bac +4",Secteur informatique • ESN,False,Exp. 1 à 7 ans,40 000 - 55 000 EUR par an,"['python', 'c', 'windows', 'dos', 'esp', 'linux']"
Ingénieur en Développement Logiciels H/F,Consulting Technical Support,Clamart - 92,CDI,Bac +5,Services aux Entreprises,True,Exp. 1 à 7 ans,35 000 - 70 000 EUR par an,"['c', 'qt', 'esp']"
Ingénieur en Développement Logiciels H/F,Consulting Technical Support,Clamart - 92,CDI,Bac +5,Services aux Entreprises,True,Exp. 1 à 7 ans,35 000 - 70 000 EUR par an,"['c', 'qt', 'esp']"
Ingénieur en Développement Logiciel H/F,Human Immobilier,Bordeaux - 33,CDI,"Bac +3, Bac +4",,False,Exp. 1 à 7 ans,37 050 - 41 470 EUR par an,"['rest', 'c', 'esp', 'devops']"
Ingénieur Logiciel H/F,Altim,Toulouse - 31,CDI,,,False,,32 000 - 45 000 EUR par an,"['c', 'php', 'java', 'spark', 'scala']"
Ingenieur Developpement Logiciel H/F,JL Executive,Pessac - 33,CDI,,,False,,37 050 - 41 470 EUR par an,"['c', 'esp']"
Ingénieur Software H/F,Prime Engineering,Isère - 38,CDI,Bac +5,Services aux Entreprises,False,Exp. + 7 ans,32 000 - 55 000 EUR par an,"['rest', 'c']"
Architecte Applicatif H/F,Eviden,Bezons - 95,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,40 000 - 45 000 EUR par an,"['c', 'ios', 'dos', 'esp', 'java', 'fuse']"
Ingénieur Software H/F,Segula Technologies,Strasbourg - 67,CDI,,,False,,,"['c', 'esp']"
Ingénieur Développement Logiciel H/F,GENIPLURI,Saint-Égrève - 38,CDI,Bac +5,Services aux Entreprises,True,Exp. + 7 ans,40 000 - 65 000 EUR par an,"['c', 'dos', 'esp']"
Architecte Applicatif H/F,Atos,Bezons - 95,CDI,Bac +5,Secteur informatique • ESN,True,,,"['rest', 'c', 'nix', 'windows', 'angular', 'esp', 'java', 'big data', 'ada', 'kotlin', 'postgresql', 'linux', 'javascript']"
Architecte Applicatif - Design Authority H/F,Crédit Agricole Assurances,Paris - 75,CDI,"Bac +3, Bac +4",,True,Exp. + 7 ans,,"['c', 'esp']"
Ingénieur Logiciel R&D H/F,AXA en France,Paris - 75,CDI,Bac +5,,True,,40 000 - 45 000 EUR par an,"['data science', 'c', 'esp', 'terraform', 'ada']"
Ingénieur Développement Logiciel C++ H/F,L'Industrie recrute,Igny - 91,CDI,Bac +5,,True,Exp. 1 à 7 ans,40 000 - 45 000 EUR par an,"['opengl', 'cross-platform', 'rest', 'c', 'windows', 'esp', 'linux', 'devops', 'core']"
Ingénieur Développement Logiciel C++ H/F,L'Industrie recrute,Igny - 91,CDI,Bac +5,,True,Exp. 1 à 7 ans,,"['rest', 'c', 'windows', 'dos', 'esp']"
Ingénieur Développement Software et Cybersécurité H/F,LR Technologies Groupe,Rambouillet - 78,CDI,Bac +5,Services aux Entreprises,False,Exp. + 7 ans,,"['c', 'c/c++']"
CDI - Ingénieur Génie Logiciel H/F,Naval Group,Toulon - 83,CDI,Bac +5,,True,Exp. 1 à 7 ans,39 300 - 43 200 EUR par an,"['rest', 'c', 'css', 'angular', 'esp', 'java']"
Ingénieur Développement Logiciel C++ H/F,Groupe ADF,Launaguet - 31,CDI,Bac +5,,False,Exp. 1 à 7 ans,35 000 EUR par an,"['rest', 'c', 'esp']"
Ingénieur Développement Software CDI H/F,CENTUM T&S,Lyon - 69,CDI,,,False,,45 000 - 55 000 EUR par an,['c']
Ingénieur Software Autosar H/F,Bertrandt,Vélizy-Villacoublay - 78,CDI,Bac +5,Secteur informatique • ESN,True,,40 000 - 45 000 EUR par an,"['electron', 'c', 'esp']"
Ingénieur Développement Logiciel Ihm H/F,DEMETER,Cergy - 95,CDI,Bac +5,Services aux Entreprises,False,Exp. 1 à 7 ans,45 000 - 55 000 EUR par an,"['c', 'esp']"
CDI - Ingénieur Logiciel H/F,Randstad Consulting,Toulon - 83,CDI,Bac +5,,False,Exp. + 7 ans,40 000 EUR par an,['c']
Ingénieur Logiciel Applicatif H/F,DAVRICOURT,Saint-Fons - 69,CDI,,,False,,,"['c', 'esp']"
Ingénieur Développement Logiciel Ferroviaire H/F,LR Technologies,Massy - 91,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,,"['python', 'c', 'ios', 'ada']"
Ingénieur Développement Logiciel C++ H/F,LR Technologies,Île-de-France,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,,"['python', 'c']"
Architecte Applicatif Junior H/F,INFOGENE,Neuilly-sur-Seine - 92,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,55 000 - 60 000 EUR par an,"['c', 'dos']"
Ingénieur Logiciel R&D H/F,Axa group operations,Paris - 75,CDI,Bac +5,,False,,,"['data science', 'c', 'esp', 'terraform', 'ada']"
Ingénieur Software Mainframe H/F,BNP Paribas,Paris 19e - 75,CDI,Bac +5,,True,,,"['c', 'esp', 'ada']"
Ingénieur Logiciel C++ H/F,CS Group,Fontaine - 38,CDI,,,False,,,"['c', 'esp']"
Ingénieur Développement Logiciel C++ H/F,Seyos,Igny - 91,CDI,Bac +5,Secteur informatique • ESN,True,Exp. 1 à 7 ans,50 000 - 60 000 EUR par an,"['c', 'windows', 'linux']"
Ingénieur Logiciel Saas H/F,Adsearch,Nantes - 44,CDI,Bac +5,Services aux Entreprises,False,Exp. 1 à 7 ans,50 000 - 60 000 EUR par an,"['rest', 'c', 'mysql', 'angular', 'esp', 'java', 'react']"
Ingénieur en Développement Logiciel C H/F,Thomas Search Consulting,Massy - 91,CDI,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,43 000 - 50 000 EUR par an,"['c', 'windows', 'dos']"
Ingénieur Logiciel Applicatif H/F,Akkodis Talent,Lisses - 91,CDI,Bac +5,Services aux Entreprises,False,Exp. + 7 ans,40 000 - 45 000 EUR par an,"['python', '.net', 'c', 'windows', 'esp', 'ada', 'postgresql', 'devops', 'core']"
Ingénieur Développement Logiciel H/F,LR Technologies Groupe,Beauvais - 60,CDI,Bac +5,Secteur informatique • ESN,False,Exp. 1 à 7 ans,,['c']
Stage - Ingénieur Logiciel H/F,Bertrandt,Vélizy-Villacoublay - 78,Stage,Bac +5,Secteur informatique • ESN,True,Exp. + 7 ans,,"['python', 'c']"
CDI - Ingénieur Développement Logiciel H/F,Randstad Consulting,Toulon - 83,CDI,,,False,,40 000 - 50 000 EUR par an,"['c', 'esp', 'java']"
Apprenti Ingénieur Développement Logiciel H/F,Safran,Massy - 91,Alternance,Bac +5,,True,Exp. + 7 ans,"477,07 - 1 766,92 EUR par mois","['rest', 'c', 'windows', 'esp', 'linux', 'devops']"
Stage - Ingénieur Logiciel H/F,Expleo,Grenoble - 38,Stage,Bac +5,Secteur informatique • ESN,False,Exp. + 7 ans,,"['python', 'c', 'qt', 'esp']"
Alternant Ingénieur Logiciel H/F,Hensoldt Nexeya France,Six-Fours-les-Plages - 83,Alternance,,,False,,"477,07 - 1 766,92 EUR par mois",['c']
Ingénieur Etude et Développement Logiciel en Neutronique H/F,CEA,Bruyères-le-Châtel - 91,CDI,Bac +5,,True,,40 000 - 45 000 EUR par an,['c']
Stage - Ingénieur Machine Learning H/F,Exotec,Lille - 59,CDI,,,False,,,"['python', 'c', 'esp', 'machine learning', 'deep learning']"
Alternance - Ingénieur Développement Logiciel H/F,Amplitude,Pessac - 33,Alternance,Bac +5,,False,Exp. + 7 ans,"477,07 - 1 766,92 EUR par mois","['c', 'qt', 'windows']"
Ingénieur Développement Logiciel Bsw H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,,['c']
Ingénieur Développement Logiciel - Aérospatial H/F,Astek,Caen - 14,CDI,Bac +5,Secteur informatique • ESN,True,,,"['c', 'ios']"
Ingénieur Logiciel en Mécatronique H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,40 000 - 45 000 EUR par an,"['c', 'c/c++']"
Ingénieur Logiciel en Mécatronique H/F,Astek,Paris 1er - 75,CDI,Bac +5,Secteur informatique • ESN,True,,40 000 - 45 000 EUR par an,"['c', 'c/c++']"
